,Title_of_the_Review,Review_of_the_movie,clean_txt,tokens,text_stem,text_lem
0,SATISFIES THE HYPE!!!,"What an amazing movie by Marvel Studios! I was hyped for the movie since the first teaser and the movie actually exceedes my expectations. Marvel has been showing its MARVELous magic since Ironman, and Shang-Chi is another diamond in the crown. After the end of MCU's phase 3, fans were eagerly waiting for a big movie. Black Widow was not up to the mark and Eternals also disappointed majority of fans, but Chang-Chi filled their gap. The action scenes were fresh and engaging. Martial arts combined with chinese mythological powers makes these action scenes more interesting. Character arc and story building were satisfying. They were not rushed or slow paced. Whole movie was engaging till the end. I would love to see another movie of this franchise.",what amazing movie marvel studios i hyped movie since first teaser movie actually exceedes expectations marvel showing marvelous magic since ironman shangchi another diamond crown after end mcus phase fans eagerly waiting big movie black widow mark eternals also disappointed majority fans changchi filled gap the action scenes fresh engaging martial arts combined chinese mythological powers makes action scenes interesting character arc story building satisfying they rushed slow paced whole movie engaging till end i would love see another movie franchise,"['what', 'amazing', 'movie', 'marvel', 'studios', 'i', 'hyped', 'movie', 'since', 'first', 'teaser', 'movie', 'actually', 'exceedes', 'expectations', 'marvel', 'showing', 'marvelous', 'magic', 'since', 'ironman', 'shangchi', 'another', 'diamond', 'crown', 'after', 'end', 'mcus', 'phase', 'fans', 'eagerly', 'waiting', 'big', 'movie', 'black', 'widow', 'mark', 'eternals', 'also', 'disappointed', 'majority', 'fans', 'changchi', 'filled', 'gap', 'the', 'action', 'scenes', 'fresh', 'engaging', 'martial', 'arts', 'combined', 'chinese', 'mythological', 'powers', 'makes', 'action', 'scenes', 'interesting', 'character', 'arc', 'story', 'building', 'satisfying', 'they', 'rushed', 'slow', 'paced', 'whole', 'movie', 'engaging', 'till', 'end', 'i', 'would', 'love', 'see', 'another', 'movie', 'franchise']","['what', 'amaz', 'movi', 'marvel', 'studio', 'i', 'hype', 'movi', 'sinc', 'first', 'teaser', 'movi', 'actual', 'exceed', 'expect', 'marvel', 'show', 'marvel', 'magic', 'sinc', 'ironman', 'shangchi', 'anoth', 'diamond', 'crown', 'after', 'end', 'mcus', 'phase', 'fan', 'eager', 'wait', 'big', 'movi', 'black', 'widow', 'mark', 'etern', 'also', 'disappoint', 'major', 'fan', 'changchi', 'fill', 'gap', 'the', 'action', 'scene', 'fresh', 'engag', 'martial', 'art', 'combin', 'chines', 'mytholog', 'power', 'make', 'action', 'scene', 'interest', 'charact', 'arc', 'stori', 'build', 'satisfi', 'they', 'rush', 'slow', 'pace', 'whole', 'movi', 'engag', 'till', 'end', 'i', 'would', 'love', 'see', 'anoth', 'movi', 'franchis']","['what', 'amazing', 'movie', 'marvel', 'studio', 'i', 'hyped', 'movie', 'since', 'first', 'teaser', 'movie', 'actually', 'exceedes', 'expectation', 'marvel', 'showing', 'marvelous', 'magic', 'since', 'ironman', 'shangchi', 'another', 'diamond', 'crown', 'after', 'end', 'mcus', 'phase', 'fan', 'eagerly', 'waiting', 'big', 'movie', 'black', 'widow', 'mark', 'eternals', 'also', 'disappointed', 'majority', 'fan', 'changchi', 'filled', 'gap', 'the', 'action', 'scene', 'fresh', 'engaging', 'martial', 'art', 'combined', 'chinese', 'mythological', 'power', 'make', 'action', 'scene', 'interesting', 'character', 'arc', 'story', 'building', 'satisfying', 'they', 'rushed', 'slow', 'paced', 'whole', 'movie', 'engaging', 'till', 'end', 'i', 'would', 'love', 'see', 'another', 'movie', 'franchise']"
1,Surprisingly good,"I'll be honest - Marvel movies are not in my top 20 or even 50 but within the Marvel ""Universe"" I would say that Shang-Chi is in my top 5. I know, it's blasphemy and all that but think about it - is it better than Iron Man? I would admit yes - it's origin story is arguably better, and it's characters are a lot deeper. The Mandarin is a conflicted man, with evil but good as well, like real life. Is this movie better than The Avengers or Ragnarok or Infinity Wars? Hard to say, which means it's right up there with the best (of Marvel) in my opinion.

Plus, I'm a sucker for Chinese movies with the Chinese language being spoken - 1 of my favourite of all times, if not my absolute favourite, is of course 'Hero.' The Chinese language and the artistry of it's culture are magnificent.

All in all, well done Marvel, director Destin, and all those who worked to make this movie a reality. This is not just your average summer action movie; it's close to being a Masterpiece. And the humour is pretty swell too!

Cheers.",ill honest marvel movies top even within marvel universe i would say shangchi top i know blasphemy think better iron man i would admit yes origin story arguably better characters lot deeper the mandarin conflicted man evil good well like real life is movie better the avengers ragnarok infinity wars hard say means right best marvel opinionplus im sucker chinese movies chinese language spoken favourite times absolute favourite course hero the chinese language artistry culture magnificentall well done marvel director destin worked make movie reality this average summer action movie close masterpiece and humour pretty swell toocheers,"['ill', 'honest', 'marvel', 'movies', 'top', 'even', 'within', 'marvel', 'universe', 'i', 'would', 'say', 'shangchi', 'top', 'i', 'know', 'blasphemy', 'think', 'better', 'iron', 'man', 'i', 'would', 'admit', 'yes', 'origin', 'story', 'arguably', 'better', 'characters', 'lot', 'deeper', 'the', 'mandarin', 'conflicted', 'man', 'evil', 'good', 'well', 'like', 'real', 'life', 'is', 'movie', 'better', 'the', 'avengers', 'ragnarok', 'infinity', 'wars', 'hard', 'say', 'means', 'right', 'best', 'marvel', 'opinionplus', 'im', 'sucker', 'chinese', 'movies', 'chinese', 'language', 'spoken', 'favourite', 'times', 'absolute', 'favourite', 'course', 'hero', 'the', 'chinese', 'language', 'artistry', 'culture', 'magnificentall', 'well', 'done', 'marvel', 'director', 'destin', 'worked', 'make', 'movie', 'reality', 'this', 'average', 'summer', 'action', 'movie', 'close', 'masterpiece', 'and', 'humour', 'pretty', 'swell', 'toocheers']","['ill', 'honest', 'marvel', 'movi', 'top', 'even', 'within', 'marvel', 'univers', 'i', 'would', 'say', 'shangchi', 'top', 'i', 'know', 'blasphemi', 'think', 'better', 'iron', 'man', 'i', 'would', 'admit', 'yes', 'origin', 'stori', 'arguabl', 'better', 'charact', 'lot', 'deeper', 'the', 'mandarin', 'conflict', 'man', 'evil', 'good', 'well', 'like', 'real', 'life', 'is', 'movi', 'better', 'the', 'aveng', 'ragnarok', 'infin', 'war', 'hard', 'say', 'mean', 'right', 'best', 'marvel', 'opinionplus', 'im', 'sucker', 'chines', 'movi', 'chines', 'languag', 'spoken', 'favourit', 'time', 'absolut', 'favourit', 'cours', 'hero', 'the', 'chines', 'languag', 'artistri', 'cultur', 'magnificental', 'well', 'done', 'marvel', 'director', 'destin', 'work', 'make', 'movi', 'realiti', 'this', 'averag', 'summer', 'action', 'movi', 'close', 'masterpiec', 'and', 'humour', 'pretti', 'swell', 'toocheer']","['ill', 'honest', 'marvel', 'movie', 'top', 'even', 'within', 'marvel', 'universe', 'i', 'would', 'say', 'shangchi', 'top', 'i', 'know', 'blasphemy', 'think', 'better', 'iron', 'man', 'i', 'would', 'admit', 'yes', 'origin', 'story', 'arguably', 'better', 'character', 'lot', 'deeper', 'the', 'mandarin', 'conflicted', 'man', 'evil', 'good', 'well', 'like', 'real', 'life', 'is', 'movie', 'better', 'the', 'avenger', 'ragnarok', 'infinity', 'war', 'hard', 'say', 'mean', 'right', 'best', 'marvel', 'opinionplus', 'im', 'sucker', 'chinese', 'movie', 'chinese', 'language', 'spoken', 'favourite', 'time', 'absolute', 'favourite', 'course', 'hero', 'the', 'chinese', 'language', 'artistry', 'culture', 'magnificentall', 'well', 'done', 'marvel', 'director', 'destin', 'worked', 'make', 'movie', 'reality', 'this', 'average', 'summer', 'action', 'movie', 'close', 'masterpiece', 'and', 'humour', 'pretty', 'swell', 'toocheers']"
2,Fun and entertaining,Finally! A fun and entertaining movie without all the garbage Hollyweird offers. Great special effects and story line. Best movie I have seen since the Covid outbreak.,finally a fun entertaining movie without garbage hollyweird offers great special effects story line best movie i seen since covid outbreak,"['finally', 'a', 'fun', 'entertaining', 'movie', 'without', 'garbage', 'hollyweird', 'offers', 'great', 'special', 'effects', 'story', 'line', 'best', 'movie', 'i', 'seen', 'since', 'covid', 'outbreak']","['final', 'a', 'fun', 'entertain', 'movi', 'without', 'garbag', 'hollyweird', 'offer', 'great', 'special', 'effect', 'stori', 'line', 'best', 'movi', 'i', 'seen', 'sinc', 'covid', 'outbreak']","['finally', 'a', 'fun', 'entertaining', 'movie', 'without', 'garbage', 'hollyweird', 'offer', 'great', 'special', 'effect', 'story', 'line', 'best', 'movie', 'i', 'seen', 'since', 'covid', 'outbreak']"
3,A new standard!,"The goal of an MCU solo film is to sell the audience on a new character and power system. This movie does both perfectly, within the first 30 minutes we are drawn to Shang as a character and that lasts throughout the entire movie. The fight scenes have love and care poured into them and I hope they bring this team back for future MCU movies involving Shang because they pay homage to old kung fu movies beautifully.",the goal mcu solo film sell audience new character power system this movie perfectly within first minutes drawn shang character lasts throughout entire movie the fight scenes love care poured i hope bring team back future mcu movies involving shang pay homage old kung fu movies beautifully,"['the', 'goal', 'mcu', 'solo', 'film', 'sell', 'audience', 'new', 'character', 'power', 'system', 'this', 'movie', 'perfectly', 'within', 'first', 'minutes', 'drawn', 'shang', 'character', 'lasts', 'throughout', 'entire', 'movie', 'the', 'fight', 'scenes', 'love', 'care', 'poured', 'i', 'hope', 'bring', 'team', 'back', 'future', 'mcu', 'movies', 'involving', 'shang', 'pay', 'homage', 'old', 'kung', 'fu', 'movies', 'beautifully']","['the', 'goal', 'mcu', 'solo', 'film', 'sell', 'audienc', 'new', 'charact', 'power', 'system', 'this', 'movi', 'perfect', 'within', 'first', 'minut', 'drawn', 'shang', 'charact', 'last', 'throughout', 'entir', 'movi', 'the', 'fight', 'scene', 'love', 'care', 'pour', 'i', 'hope', 'bring', 'team', 'back', 'futur', 'mcu', 'movi', 'involv', 'shang', 'pay', 'homag', 'old', 'kung', 'fu', 'movi', 'beauti']","['the', 'goal', 'mcu', 'solo', 'film', 'sell', 'audience', 'new', 'character', 'power', 'system', 'this', 'movie', 'perfectly', 'within', 'first', 'minute', 'drawn', 'shang', 'character', 'last', 'throughout', 'entire', 'movie', 'the', 'fight', 'scene', 'love', 'care', 'poured', 'i', 'hope', 'bring', 'team', 'back', 'future', 'mcu', 'movie', 'involving', 'shang', 'pay', 'homage', 'old', 'kung', 'fu', 'movie', 'beautifully']"
4,Shang-Chi and the Legend of the Ten Rings,"6/10 - I seem to be the only one to not be marveling at the latest Marvel Studios offering, but while this movie is technically sound (visual effects, stunt work, sound, cinematography, you name it), I found it to be mostly a rehash of things I've seen before (maybe I'm just getting tired of all these superhero movies)",i seem one marveling latest marvel studios offering movie technically sound visual effects stunt work sound cinematography name i found mostly rehash things ive seen maybe im getting tired superhero movies,"['i', 'seem', 'one', 'marveling', 'latest', 'marvel', 'studios', 'offering', 'movie', 'technically', 'sound', 'visual', 'effects', 'stunt', 'work', 'sound', 'cinematography', 'name', 'i', 'found', 'mostly', 'rehash', 'things', 'ive', 'seen', 'maybe', 'im', 'getting', 'tired', 'superhero', 'movies']","['i', 'seem', 'one', 'marvel', 'latest', 'marvel', 'studio', 'offer', 'movi', 'technic', 'sound', 'visual', 'effect', 'stunt', 'work', 'sound', 'cinematographi', 'name', 'i', 'found', 'most', 'rehash', 'thing', 'ive', 'seen', 'mayb', 'im', 'get', 'tire', 'superhero', 'movi']","['i', 'seem', 'one', 'marveling', 'latest', 'marvel', 'studio', 'offering', 'movie', 'technically', 'sound', 'visual', 'effect', 'stunt', 'work', 'sound', 'cinematography', 'name', 'i', 'found', 'mostly', 'rehash', 'thing', 'ive', 'seen', 'maybe', 'im', 'getting', 'tired', 'superhero', 'movie']"
5,So good!!,"The best marvel movie after Endgame. The story is a bit cliché but the rest is absolutely amazing. The fight scenes are the best in the MCU in my opinion. Simu Liu as Shang-Chi is perfectly chosen and all the other characters are nice and the all the actors do a good job. Act 3 is on another level that we haven't seen before in MCU and the visual effects are spectacular, by far one of the best origin stories from Marvel!",the best marvel movie endgame the story bit clich rest absolutely amazing the fight scenes best mcu opinion simu liu shangchi perfectly chosen characters nice actors good job act another level havent seen mcu visual effects spectacular far one best origin stories marvel,"['the', 'best', 'marvel', 'movie', 'endgame', 'the', 'story', 'bit', 'clich', 'rest', 'absolutely', 'amazing', 'the', 'fight', 'scenes', 'best', 'mcu', 'opinion', 'simu', 'liu', 'shangchi', 'perfectly', 'chosen', 'characters', 'nice', 'actors', 'good', 'job', 'act', 'another', 'level', 'havent', 'seen', 'mcu', 'visual', 'effects', 'spectacular', 'far', 'one', 'best', 'origin', 'stories', 'marvel']","['the', 'best', 'marvel', 'movi', 'endgam', 'the', 'stori', 'bit', 'clich', 'rest', 'absolut', 'amaz', 'the', 'fight', 'scene', 'best', 'mcu', 'opinion', 'simu', 'liu', 'shangchi', 'perfect', 'chosen', 'charact', 'nice', 'actor', 'good', 'job', 'act', 'anoth', 'level', 'havent', 'seen', 'mcu', 'visual', 'effect', 'spectacular', 'far', 'one', 'best', 'origin', 'stori', 'marvel']","['the', 'best', 'marvel', 'movie', 'endgame', 'the', 'story', 'bit', 'clich', 'rest', 'absolutely', 'amazing', 'the', 'fight', 'scene', 'best', 'mcu', 'opinion', 'simu', 'liu', 'shangchi', 'perfectly', 'chosen', 'character', 'nice', 'actor', 'good', 'job', 'act', 'another', 'level', 'havent', 'seen', 'mcu', 'visual', 'effect', 'spectacular', 'far', 'one', 'best', 'origin', 'story', 'marvel']"
6,Sort of disappointed..,"I got to admit I wasn't particularly blown away by anything in the movie.. I might even say ""I was bored"" by it.

Don't get me wrong.. it IS a spectacle! The action is great. The locations are nice, costume design, sound design, etc. But it is overall a soft release not worth seeing in theaters.. specially as a follow-up to what Endgame was.

The biggest problem for me, is how the underwritten lead has muddled personality (for reasons covered in the story) devoid of charm, personality or good dialogue.

The next issue is the humor, which didn't land for me.. Not once. The supporting lead Awkwafina isn't her normal ""loud"" self that's supposed to be funny every time she opens her mouth. Her role is very supportive and a little dramatic. And while I questioned myself why was she even there for, it doesn't ultimately matter. She is another forgettable character that is given more importance than the role deserves.

Finally, the third act is weak. There's a balancing problem with stakes. You can't feel tension or weight to any action. And there's a lot of superficial ""I can't do it"" until they can.

In the end, this feels like a very safe plot, written in a way to appeal to china (considering how the Mandarin is portrayed), that ends up appealing to no one specific. Certainly doesn't feel like a Marvel movie.. but it was bound to happen if we are to be introduced to different aspects of the narrative. But it also doesn't feel like a comic book. It's more generic than that.",i got admit i wasnt particularly blown away anything movie i might even say i bored itdont get wrong is spectacle the action great the locations nice costume design sound design etc but overall soft release worth seeing theaters specially followup endgame wasthe biggest problem underwritten lead muddled personality reasons covered story devoid charm personality good dialoguethe next issue humor didnt land not the supporting lead awkwafina isnt normal loud self thats supposed funny every time opens mouth her role supportive little dramatic and i questioned even doesnt ultimately matter she another forgettable character given importance role deservesfinally third act weak theres balancing problem stakes you cant feel tension weight action and theres lot superficial i cant canin end feels like safe plot written way appeal china considering mandarin portrayed ends appealing one specific certainly doesnt feel like marvel movie bound happen introduced different aspects narrative but also doesnt feel like comic book its generic,"['i', 'got', 'admit', 'i', 'wasnt', 'particularly', 'blown', 'away', 'anything', 'movie', 'i', 'might', 'even', 'say', 'i', 'bored', 'itdont', 'get', 'wrong', 'is', 'spectacle', 'the', 'action', 'great', 'the', 'locations', 'nice', 'costume', 'design', 'sound', 'design', 'etc', 'but', 'overall', 'soft', 'release', 'worth', 'seeing', 'theaters', 'specially', 'followup', 'endgame', 'wasthe', 'biggest', 'problem', 'underwritten', 'lead', 'muddled', 'personality', 'reasons', 'covered', 'story', 'devoid', 'charm', 'personality', 'good', 'dialoguethe', 'next', 'issue', 'humor', 'didnt', 'land', 'not', 'the', 'supporting', 'lead', 'awkwafina', 'isnt', 'normal', 'loud', 'self', 'thats', 'supposed', 'funny', 'every', 'time', 'opens', 'mouth', 'her', 'role', 'supportive', 'little', 'dramatic', 'and', 'i', 'questioned', 'even', 'doesnt', 'ultimately', 'matter', 'she', 'another', 'forgettable', 'character', 'given', 'importance', 'role', 'deservesfinally', 'third', 'act', 'weak', 'theres', 'balancing', 'problem', 'stakes', 'you', 'cant', 'feel', 'tension', 'weight', 'action', 'and', 'theres', 'lot', 'superficial', 'i', 'cant', 'canin', 'end', 'feels', 'like', 'safe', 'plot', 'written', 'way', 'appeal', 'china', 'considering', 'mandarin', 'portrayed', 'ends', 'appealing', 'one', 'specific', 'certainly', 'doesnt', 'feel', 'like', 'marvel', 'movie', 'bound', 'happen', 'introduced', 'different', 'aspects', 'narrative', 'but', 'also', 'doesnt', 'feel', 'like', 'comic', 'book', 'its', 'generic']","['i', 'got', 'admit', 'i', 'wasnt', 'particular', 'blown', 'away', 'anyth', 'movi', 'i', 'might', 'even', 'say', 'i', 'bore', 'itdont', 'get', 'wrong', 'is', 'spectacl', 'the', 'action', 'great', 'the', 'locat', 'nice', 'costum', 'design', 'sound', 'design', 'etc', 'but', 'overal', 'soft', 'releas', 'worth', 'see', 'theater', 'special', 'followup', 'endgam', 'wasth', 'biggest', 'problem', 'underwritten', 'lead', 'muddl', 'person', 'reason', 'cover', 'stori', 'devoid', 'charm', 'person', 'good', 'dialogueth', 'next', 'issu', 'humor', 'didnt', 'land', 'not', 'the', 'support', 'lead', 'awkwafina', 'isnt', 'normal', 'loud', 'self', 'that', 'suppos', 'funni', 'everi', 'time', 'open', 'mouth', 'her', 'role', 'support', 'littl', 'dramat', 'and', 'i', 'question', 'even', 'doesnt', 'ultim', 'matter', 'she', 'anoth', 'forgett', 'charact', 'given', 'import', 'role', 'deservesfin', 'third', 'act', 'weak', 'there', 'balanc', 'problem', 'stake', 'you', 'cant', 'feel', 'tension', 'weight', 'action', 'and', 'there', 'lot', 'superfici', 'i', 'cant', 'canin', 'end', 'feel', 'like', 'safe', 'plot', 'written', 'way', 'appeal', 'china', 'consid', 'mandarin', 'portray', 'end', 'appeal', 'one', 'specif', 'certain', 'doesnt', 'feel', 'like', 'marvel', 'movi', 'bound', 'happen', 'introduc', 'differ', 'aspect', 'narrat', 'but', 'also', 'doesnt', 'feel', 'like', 'comic', 'book', 'it', 'generic']","['i', 'got', 'admit', 'i', 'wasnt', 'particularly', 'blown', 'away', 'anything', 'movie', 'i', 'might', 'even', 'say', 'i', 'bored', 'itdont', 'get', 'wrong', 'is', 'spectacle', 'the', 'action', 'great', 'the', 'location', 'nice', 'costume', 'design', 'sound', 'design', 'etc', 'but', 'overall', 'soft', 'release', 'worth', 'seeing', 'theater', 'specially', 'followup', 'endgame', 'wasthe', 'biggest', 'problem', 'underwritten', 'lead', 'muddled', 'personality', 'reason', 'covered', 'story', 'devoid', 'charm', 'personality', 'good', 'dialoguethe', 'next', 'issue', 'humor', 'didnt', 'land', 'not', 'the', 'supporting', 'lead', 'awkwafina', 'isnt', 'normal', 'loud', 'self', 'thats', 'supposed', 'funny', 'every', 'time', 'open', 'mouth', 'her', 'role', 'supportive', 'little', 'dramatic', 'and', 'i', 'questioned', 'even', 'doesnt', 'ultimately', 'matter', 'she', 'another', 'forgettable', 'character', 'given', 'importance', 'role', 'deservesfinally', 'third', 'act', 'weak', 'there', 'balancing', 'problem', 'stake', 'you', 'cant', 'feel', 'tension', 'weight', 'action', 'and', 'there', 'lot', 'superficial', 'i', 'cant', 'canin', 'end', 'feel', 'like', 'safe', 'plot', 'written', 'way', 'appeal', 'china', 'considering', 'mandarin', 'portrayed', 'end', 'appealing', 'one', 'specific', 'certainly', 'doesnt', 'feel', 'like', 'marvel', 'movie', 'bound', 'happen', 'introduced', 'different', 'aspect', 'narrative', 'but', 'also', 'doesnt', 'feel', 'like', 'comic', 'book', 'it', 'generic']"
7,Great movie,I thought it was a great hero movie. It developed the character as well as others and felt like the story was complete. This story was over and now it's time for the next.,i thought great hero movie it developed character well others felt like story complete this story time next,"['i', 'thought', 'great', 'hero', 'movie', 'it', 'developed', 'character', 'well', 'others', 'felt', 'like', 'story', 'complete', 'this', 'story', 'time', 'next']","['i', 'thought', 'great', 'hero', 'movi', 'it', 'develop', 'charact', 'well', 'other', 'felt', 'like', 'stori', 'complet', 'this', 'stori', 'time', 'next']","['i', 'thought', 'great', 'hero', 'movie', 'it', 'developed', 'character', 'well', 'others', 'felt', 'like', 'story', 'complete', 'this', 'story', 'time', 'next']"
8,Amazing,"Best movie of the year. I waited for that kind of movie the whole year. It has comedy, fantasy, action, it keeps you on your toes, ... just great. Can't wait for part two.",best movie year i waited kind movie whole year it comedy fantasy action keeps toes great cant wait part two,"['best', 'movie', 'year', 'i', 'waited', 'kind', 'movie', 'whole', 'year', 'it', 'comedy', 'fantasy', 'action', 'keeps', 'toes', 'great', 'cant', 'wait', 'part', 'two']","['best', 'movi', 'year', 'i', 'wait', 'kind', 'movi', 'whole', 'year', 'it', 'comedi', 'fantasi', 'action', 'keep', 'toe', 'great', 'cant', 'wait', 'part', 'two']","['best', 'movie', 'year', 'i', 'waited', 'kind', 'movie', 'whole', 'year', 'it', 'comedy', 'fantasy', 'action', 'keep', 'toe', 'great', 'cant', 'wait', 'part', 'two']"
9,Amazing movie!,"Truly an amazing movie! This movie depicts family very well. The visual effects are stunning, the martial arts are incredible, and there is just enough humor in it to relieve some of the darker notes. I can't wait for the sequel!",truly amazing movie this movie depicts family well the visual effects stunning martial arts incredible enough humor relieve darker notes i cant wait sequel,"['truly', 'amazing', 'movie', 'this', 'movie', 'depicts', 'family', 'well', 'the', 'visual', 'effects', 'stunning', 'martial', 'arts', 'incredible', 'enough', 'humor', 'relieve', 'darker', 'notes', 'i', 'cant', 'wait', 'sequel']","['truli', 'amaz', 'movi', 'this', 'movi', 'depict', 'famili', 'well', 'the', 'visual', 'effect', 'stun', 'martial', 'art', 'incred', 'enough', 'humor', 'reliev', 'darker', 'note', 'i', 'cant', 'wait', 'sequel']","['truly', 'amazing', 'movie', 'this', 'movie', 'depicts', 'family', 'well', 'the', 'visual', 'effect', 'stunning', 'martial', 'art', 'incredible', 'enough', 'humor', 'relieve', 'darker', 'note', 'i', 'cant', 'wait', 'sequel']"
