Name,Url,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
1117,https://www.zomato.com/jaipur/1117-jagatpura,Jagatpura,137 Dining Reviews,"3,418 Delivery Reviews",Casual Dining ,"North Indian, Fast Food",500,no,no,yes,yes,3.4,3.7
Feb-20,https://www.zomato.com/jaipur/feb-20-mansarovar,Mansarovar,30 Dining Reviews,231 Delivery Reviews,Quick Bites ,Fast Food,300,yes,no,yes,yes,3.4,3.8
#Jaipur Darbar,https://www.zomato.com/jaipur/jaipur-darbar-tonk-road,Pratap Nagar,18 Dining Reviews,126 Delivery Reviews,Quick Bites ,"North Indian, Mughlai, Chinese, Fast Food",500,no,no,yes,yes,3.5,3.8
#Underground Restro & Bar,https://www.zomato.com/jaipur/underground-restro-bar-vidhyadhar-nagar,Vidhyadhar Nagar,13 Dining Reviews,Does not offer Delivery,Bar ,"North Indian, Mughlai",700,no,yes,no,yes,3.1,
0141 Resturant,https://www.zomato.com/jaipur/0141-resturant-jagatpura,Jagatpura,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,350,no,no,no,yes,,
100 Feet Above Restro Bar- The Fern Residency,https://www.zomato.com/jaipur/100-feet-above-restro-bar-the-fern-residency-adarsh-nagar,Adarsh Nagar,9 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, European","1,600",no,no,no,yes,3.4,
11 Haandi,https://www.zomato.com/jaipur/11-haandi-mansarovar,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"South Indian, Beverages, Fast Food",350,yes,no,yes,no,,
11 Haandi,https://www.zomato.com/jaipur/11-haandi-1-mansarovar,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"South Indian, Chinese, Italian",250,yes,no,yes,no,,
1135 AD,https://www.zomato.com/jaipur/1135-ad-amer,Amer,644 Dining Reviews,Does not offer Delivery,Fine Dining ,"North Indian, Mughlai, Rajasthani","2,500",no,no,no,yes,4.1,
11MG,https://www.zomato.com/jaipur/11mg-mansarovar,Mansarovar,135 Dining Reviews,837 Delivery Reviews,CAFÉ ,Cafe,400,yes,no,yes,yes,3.8,3.9
12 Miles,https://www.zomato.com/jaipur/12-miles-tonk-road,Sitapur,11 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Mughlai",450,no,no,yes,yes,3,
14 Tables,https://www.zomato.com/jaipur/14-tables-mi-road,MI Road,152 Dining Reviews,Not enough Delivery Reviews,"Casual Dining, Bar ","Continental, Chinese, North Indian, Italian","1,600",no,yes,yes,yes,3.7,
180 Degree - The Theme Hotel,https://www.zomato.com/jaipur/180-degree-the-theme-hotel-tonk-road,Sanganer,194 Dining Reviews,726 Delivery Reviews,"Casual Dining, Bar ","North Indian, Continental, Chinese","1,400",no,yes,yes,yes,3.8,3.9
1805 Restaurant,https://www.zomato.com/jaipur/1805-restaurant-jhotwara,Jhotwara,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Beverages",400,no,no,yes,yes,2.9,
1962 The Food Club,https://www.zomato.com/jaipur/1962-the-food-club-c-scheme,C Scheme,Not enough Dining Reviews,218 Delivery Reviews,Quick Bites ,"North Indian, Chinese",350,no,no,yes,yes,,4
1st Story - Four Points By Sheraton,https://www.zomato.com/jaipur/1st-story-four-points-by-sheraton-tonk-road,Gopalpura,81 Dining Reviews,Does not offer Delivery,Bar ,Finger Food,"2,500",no,yes,no,yes,3.9,
2 Countries,https://www.zomato.com/jaipur/2-countries-jawahar-nagar,Jawahar Nagar,10 Dining Reviews,Does not offer Delivery,Quick Bites ,Iranian,550,no,no,no,yes,3.6,
24/7 Restaurant- The LaLiT Jaipur,https://www.zomato.com/24-7RestaurantJaipur,Malviya Nagar,284 Dining Reviews,Not enough Delivery Reviews,Fine Dining ,"North Indian, Continental, Asian, Italian","3,000",no,yes,yes,yes,4,
28 29 Eatup,https://www.zomato.com/jaipur/28-29-eatup-vaishali-nagar,Vaishali Nagar,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese",500,yes,no,yes,yes,3,
3 Bites,https://www.zomato.com/jaipur/3-bites-sodala,Sodala,18 Dining Reviews,27 Delivery Reviews,Quick Bites ,"North Indian, Fast Food, Chinese",600,yes,no,yes,yes,3.4,3.5
3 D's Restro Lounge,https://www.zomato.com/jaipur/3-ds-restro-lounge-malviya-nagar,Malviya Nagar,607 Dining Reviews,Does not offer Delivery,"Casual Dining, Bar ","North Indian, Chinese, Italian, Continental, Beverages","1,600",no,yes,no,yes,3.7,
36 China Town,https://www.zomato.com/jaipur/36-china-town-sodala,Sodala,9 Dining Reviews,Does not offer Delivery,Quick Bites ,Chinese,500,no,no,no,yes,3,
365 Cafe,https://www.zomato.com/jaipur/365-cafe-malviya-nagar,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Beverages",400,yes,no,no,yes,,
3D Restro Lounge,https://www.zomato.com/jaipur/3d-restro-lounge-malviya-nagar,Malviya Nagar,301 Dining Reviews,Not enough Delivery Reviews,"Lounge, Pub ","North Indian, Fast Food, Italian, Chinese, Beverages","1,600",no,yes,yes,yes,3.8,
4 Friends Cafe,https://www.zomato.com/jaipur/4-friends-cafe-tonk-road,Durgapura,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Fast Food,150,no,no,yes,yes,,
5th Alley,https://www.zomato.com/jaipur/5th-alley-c-scheme,C Scheme,Not enough Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, Continental, American","1,500",no,no,yes,yes,,
60 ML,https://www.zomato.com/jaipur/60-ml-adarsh-nagar,Adarsh Nagar,158 Dining Reviews,Does not offer Delivery,Lounge ,"North Indian, Chinese, Finger Food, Bar Food","1,200",no,yes,no,yes,2.8,
7 No. Rasoi,https://www.zomato.com/jaipur/7-no-rasoi-jagatpura,Jagatpura,7 Dining Reviews,85 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",400,no,no,yes,yes,3,3.4
72 Singh Ka Dhaba,https://www.zomato.com/jaipur/72-singh-ka-dhaba-mansarovar,Mansarovar,18 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese, North Indian, Beverages",450,yes,no,yes,yes,3.3,
777 Non-Veg Takeaway,https://www.zomato.com/jaipur/777-non-veg-takeaway-mansarovar,Mansarovar,59 Dining Reviews,325 Delivery Reviews,Quick Bites ,"North Indian, Mughlai",400,no,no,yes,yes,3.7,3.6
7th Heaven,https://www.zomato.com/jaipur/7th-heaven-mansarovar,Gopalpura,13 Dining Reviews,Not enough Delivery Reviews,Bakery ,"Bakery, Desserts, Fast Food, Beverages",350,yes,no,yes,yes,3.4,
8 Fumes,https://www.zomato.com/jaipur/8-fumes-mansarovar,Mansarovar,8 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Fast Food",400,yes,no,no,yes,2.8,
80N Restaurant,https://www.zomato.com/jaipur/80n-restaurant-vaishali-nagar,Vaishali Nagar,8 Dining Reviews,88 Delivery Reviews,Quick Bites ,"North Indian, South Indian, Fast Food, Chinese, Street Food",400,yes,no,yes,yes,3.2,3.5
